Lat,Long,RSRP,RSRQ,RSSNR,jarak
-6.957106,107.622411,-74,-11,6.0,100
-6.957960,107.623437,-77,-13,4.0,200
-6.958971,107.623063,-82,-15,-2.0,300
-6.959572,107.623012,-77,-16,-5.0,400
-6.960506,107.624386,-92,-14,-2.0,500
-6.961037,107.624858,-94,-14,-1.0,600
-6.961586,107.625539,-91,-13,-1.0,700
-6.960621,107.625993,-81,-11,0.0,800
-6.959752,107.626149,-82,-8,5.0,900
-6.958636,107.626406,-82,-8,4.0,"1,000"
-6.958041,107.626475,-85,-11,5.0,"1,100"
-6.958039,107.626467,-85,-11,7.0,"1,200"
-6.956289,107.626877,-86,-11,3.0,"1,300"
-6.955304,107.627064,-89,-11,2.0,"1,400"
-6.954339,107.627306,-69,-11,13.0,"1,500"
-6.95395,107.627979,-95,-17,-4.0,"1,600"
-6.954127,107.628812,-90,-20,-6.0,"1,700"
-6.954328,107.629686,-84,-19,-2.0,"1,800"
-6.954493,107.630636,-84,-14,7.0,"1,900"
-6.954705,107.631502,-83,-20,-6.0,"2,000"
-6.954882,107.632386,-91,-15,-4.0,"2,100"
-6.95509,107.633328,-94,-20,-5.0,"2,200"
-6.955269,107.634238,-81,-16,2.0,"2,300"
-6.955452,107.635229,-79,-12,9.0,"2,400"
-6.955592,107.635913,-64,-12,19.0,"2,500"
-6.955817,107.636892,-62,-11,20.0,"2,600"
-6.955983,107.637763,-76,-12,10.0,"2,700"
-6.956818,107.637751,-68,-12,-2.0,"2,800"
-6.957611,107.637058,-79,-11,11.0,"2,900"
-6.958645,107.636794,-78,-11,6.0,"3,000"
-6.959429,107.636834,-89,-20,-8.0,"3,100"
-6.96026,107.636813,-80,-14,0.0,"3,200"
-6.960968,107.636196,-64,-10,14.0,"3,300"
-6.961386,107.63653,-83,-11,6.0,"3,400"
-6.962522,107.636061,-87,-13,2.0,"3,500"
-6.962796,107.635703,-74,-10,16.0,"3,600"
-6.963571,107.635811,-85,-12,0.0,"3,700"
-6.964813,107.63573,-86,-12,3.0,"3,800"
-6.965969,107.635525,-74,-12,10.0,"3,900"
-6.966662,107.634739,-81,-13,6.0,"4,000"
-6.967897,107.634596,-94,-18,-3.0,"4,100"
-6.968187,107.634522,-89,-18,0.0,"4,200"
-6.968884,107.633783,-80,-17,11.0,"4,300"
-6.969041,107.632901,-80,-16,14.0,"4,400"
-6.96908,107.631813,-82,-20,-1.0,"4,500"
-6.969146,107.631013,-83,-17,-10.0,"4,600"